"GEOID","NAME","households","total_pop","white","black","asian","american_indian_alaska_native","hawaian_pacific_island","hispanic"
"060610210463","Block Group 3, Census Tract 210.46, Placer County, California",940,2156,1406,58,259,4,18,353
"060610210471","Block Group 1, Census Tract 210.47, Placer County, California",720,1967,1224,53,258,14,20,334
"060610210472","Block Group 2, Census Tract 210.47, Placer County, California",806,2496,1638,55,351,19,5,327
"060610210481","Block Group 1, Census Tract 210.48, Placer County, California",563,1639,1127,30,200,10,2,226
"060610210482","Block Group 2, Census Tract 210.48, Placer County, California",591,1800,1121,63,218,28,8,331
"060610211034","Block Group 4, Census Tract 211.03, Placer County, California",336,876,673,11,17,5,1,161
"060610211031","Block Group 1, Census Tract 211.03, Placer County, California",897,2124,1450,36,222,32,4,366
"060610211032","Block Group 2, Census Tract 211.03, Placer County, California",284,703,490,4,20,17,1,145
"060610211033","Block Group 3, Census Tract 211.03, Placer County, California",474,1201,858,29,49,10,7,230
"060610211061","Block Group 1, Census Tract 211.06, Placer County, California",343,880,720,16,20,5,0,108
"060610211062","Block Group 2, Census Tract 211.06, Placer County, California",593,1521,1211,20,90,8,4,174
"060610211081","Block Group 1, Census Tract 211.08, Placer County, California",329,766,507,12,62,9,2,147
"060610211082","Block Group 2, Census Tract 211.08, Placer County, California",1150,2644,1842,47,172,31,6,512
"060610211092","Block Group 2, Census Tract 211.09, Placer County, California",867,2182,1555,58,163,25,2,237
"060610211091","Block Group 1, Census Tract 211.09, Placer County, California",813,2467,1831,20,288,10,4,235
"060610211093","Block Group 3, Census Tract 211.09, Placer County, California",311,945,642,10,102,8,0,116
"060610211221","Block Group 1, Census Tract 211.22, Placer County, California",931,2194,1696,12,258,5,0,172
"060610211222","Block Group 2, Census Tract 211.22, Placer County, California",436,1261,994,12,69,1,1,180
"060610211232","Block Group 2, Census Tract 211.23, Placer County, California",657,1921,1374,35,180,10,2,282
"060610211231","Block Group 1, Census Tract 211.23, Placer County, California",921,2433,1802,22,202,10,3,293
"060610211233","Block Group 3, Census Tract 211.23, Placer County, California",549,1532,1236,6,70,1,2,165
"060610211234","Block Group 4, Census Tract 211.23, Placer County, California",670,1672,1389,11,65,6,4,153
"060610211281","Block Group 1, Census Tract 211.28, Placer County, California",540,1164,815,54,92,12,4,166
"060610211282","Block Group 2, Census Tract 211.28, Placer County, California",752,2080,1447,31,170,12,14,349
"060610211292","Block Group 2, Census Tract 211.29, Placer County, California",628,1442,1017,34,90,20,3,309
"060610211291","Block Group 1, Census Tract 211.29, Placer County, California",813,2011,1421,49,81,32,14,340
"060610211301","Block Group 1, Census Tract 211.30, Placer County, California",451,758,465,15,136,8,0,97
"060610211302","Block Group 2, Census Tract 211.30, Placer County, California",601,1514,949,47,182,10,5,263
"060610211311","Block Group 1, Census Tract 211.31, Placer County, California",551,1668,1233,23,88,13,8,211
"060610211312","Block Group 2, Census Tract 211.31, Placer County, California",838,2111,1387,56,276,13,5,311
"060610211313","Block Group 3, Census Tract 211.31, Placer County, California",1002,1943,1473,28,80,15,7,307
"060610212031","Block Group 1, Census Tract 212.03, Placer County, California",1097,2750,2180,10,94,44,6,410
"060610212032","Block Group 2, Census Tract 212.03, Placer County, California",972,2887,2303,30,138,23,1,381
"060610212033","Block Group 3, Census Tract 212.03, Placer County, California",662,1794,1471,10,42,22,0,152
"060610212041","Block Group 1, Census Tract 212.04, Placer County, California",660,1797,1520,5,28,26,0,185
"060610212042","Block Group 2, Census Tract 212.04, Placer County, California",363,951,778,11,17,9,1,73
"060610213042","Block Group 2, Census Tract 213.04, Placer County, California",287,881,588,7,11,21,2,212
"060610213041","Block Group 1, Census Tract 213.04, Placer County, California",734,1966,1604,8,24,16,1,296
"060610213043","Block Group 3, Census Tract 213.04, Placer County, California",599,1466,1177,8,22,21,3,191
"060610213044","Block Group 4, Census Tract 213.04, Placer County, California",647,1945,1563,17,33,20,0,327
"060610213231","Block Group 1, Census Tract 213.23, Placer County, California",924,3396,1933,58,771,12,12,474
"060610213234","Block Group 4, Census Tract 213.23, Placer County, California",1419,5217,2849,131,1415,39,36,606
"060610213232","Block Group 2, Census Tract 213.23, Placer County, California",587,1294,891,33,169,4,2,204
"060610213233","Block Group 3, Census Tract 213.23, Placer County, California",391,1316,908,9,116,9,5,200
"060610213243","Block Group 3, Census Tract 213.24, Placer County, California",724,2151,1528,34,203,10,4,262
