"GEOID","NAME","households","total_pop","white","black","asian","american_indian_alaska_native","hawaian_pacific_island","hispanic"
"060014001001","Block Group 1, Census Tract 4001, Alameda County, California",784,1789,1179,55,242,2,9,129
"060014001002","Block Group 2, Census Tract 4001, Alameda County, California",611,1249,691,89,296,0,2,76
"060014002002","Block Group 2, Census Tract 4002, Alameda County, California",428,979,681,28,122,1,0,102
"060014002001","Block Group 1, Census Tract 4002, Alameda County, California",464,1022,740,12,85,2,4,105
"060014003003","Block Group 3, Census Tract 4003, Alameda County, California",676,1390,632,389,88,8,13,168
"060014003001","Block Group 1, Census Tract 4003, Alameda County, California",528,1123,820,35,114,3,0,84
"060014003002","Block Group 2, Census Tract 4003, Alameda County, California",850,1528,950,93,199,9,5,176
"060014003004","Block Group 4, Census Tract 4003, Alameda County, California",710,1463,1011,44,153,6,9,119
"060014004001","Block Group 1, Census Tract 4004, Alameda County, California",788,1558,1140,50,169,3,2,111
"060014004002","Block Group 2, Census Tract 4004, Alameda County, California",593,1353,839,150,107,9,2,158
"060014004003","Block Group 3, Census Tract 4004, Alameda County, California",577,1201,786,89,123,0,4,105
"060014005001","Block Group 1, Census Tract 4005, Alameda County, California",968,2018,1084,270,193,14,3,250
"060014005002","Block Group 2, Census Tract 4005, Alameda County, California",380,905,487,210,62,9,0,96
"060014005003","Block Group 3, Census Tract 4005, Alameda County, California",346,721,386,145,52,1,2,91
"060014006001","Block Group 1, Census Tract 4006, Alameda County, California",482,1076,501,281,66,5,0,106
"060014006002","Block Group 2, Census Tract 4006, Alameda County, California",290,712,337,156,59,6,2,82
"060014007002","Block Group 2, Census Tract 4007, Alameda County, California",563,1269,548,342,119,13,2,188
"060014007001","Block Group 1, Census Tract 4007, Alameda County, California",593,1254,478,369,122,6,3,186
"060014007003","Block Group 3, Census Tract 4007, Alameda County, California",363,810,412,182,71,6,0,113
"060014007004","Block Group 4, Census Tract 4007, Alameda County, California",548,1175,510,328,105,5,5,146
"060014008001","Block Group 1, Census Tract 4008, Alameda County, California",758,1471,569,350,299,5,5,152
"060014008002","Block Group 2, Census Tract 4008, Alameda County, California",475,1154,441,365,107,11,12,170
"060014008003","Block Group 3, Census Tract 4008, Alameda County, California",602,1292,596,280,175,9,3,178
"060014009001","Block Group 1, Census Tract 4009, Alameda County, California",641,1330,552,335,136,2,1,199
"060014009002","Block Group 2, Census Tract 4009, Alameda County, California",560,1184,519,304,111,11,3,175
"060014010002","Block Group 2, Census Tract 4010, Alameda County, California",371,841,376,206,87,10,0,117
"060014010005","Block Group 5, Census Tract 4010, Alameda County, California",457,1108,335,369,96,10,11,248
"060014010001","Block Group 1, Census Tract 4010, Alameda County, California",398,987,416,313,68,12,7,150
"060014010003","Block Group 3, Census Tract 4010, Alameda County, California",522,1156,514,318,88,6,5,192
"060014010004","Block Group 4, Census Tract 4010, Alameda County, California",360,765,290,222,104,2,8,92
"060014010006","Block Group 6, Census Tract 4010, Alameda County, California",595,1240,423,441,145,11,2,178
"060014011002","Block Group 2, Census Tract 4011, Alameda County, California",788,1302,788,157,146,14,0,122
"060014011001","Block Group 1, Census Tract 4011, Alameda County, California",379,829,483,81,95,4,0,115
"060014011003","Block Group 3, Census Tract 4011, Alameda County, California",485,1028,433,235,131,23,7,182
"060014011004","Block Group 4, Census Tract 4011, Alameda County, California",1075,1807,678,477,275,16,13,282
"060014012001","Block Group 1, Census Tract 4012, Alameda County, California",652,1222,733,129,171,3,4,110
"060014012002","Block Group 2, Census Tract 4012, Alameda County, California",510,946,591,83,110,3,1,86
"060014012003","Block Group 3, Census Tract 4012, Alameda County, California",350,821,449,81,81,5,16,192
"060014013001","Block Group 1, Census Tract 4013, Alameda County, California",1158,2336,920,538,353,36,41,410
"060014013002","Block Group 2, Census Tract 4013, Alameda County, California",720,2046,778,366,356,31,70,485
"060014013003","Block Group 3, Census Tract 4013, Alameda County, California",975,1505,552,339,327,6,2,226
"060014014001","Block Group 1, Census Tract 4014, Alameda County, California",502,1457,488,492,120,25,17,335
"060014014002","Block Group 2, Census Tract 4014, Alameda County, California",833,2185,685,652,284,31,10,430
"060014014003","Block Group 3, Census Tract 4014, Alameda County, California",460,1713,447,469,181,23,21,518
"060014015001","Block Group 1, Census Tract 4015, Alameda County, California",549,1208,330,515,83,11,5,220
"060014015002","Block Group 2, Census Tract 4015, Alameda County, California",332,710,271,222,74,0,0,121
"060014015003","Block Group 3, Census Tract 4015, Alameda County, California",340,743,286,235,41,0,4,133
"060014016001","Block Group 1, Census Tract 4016, Alameda County, California",519,1410,411,447,128,29,5,329
"060014016002","Block Group 2, Census Tract 4016, Alameda County, California",498,1561,500,366,158,16,34,462
"060014017001","Block Group 1, Census Tract 4017, Alameda County, California",697,1678,567,492,250,9,5,300
"060014017002","Block Group 2, Census Tract 4017, Alameda County, California",499,1783,686,318,254,15,43,501
"060014017003","Block Group 3, Census Tract 4017, Alameda County, California",751,2660,990,489,275,25,73,784
"060014018001","Block Group 1, Census Tract 4018, Alameda County, California",428,1076,337,370,47,14,5,262
"060014018002","Block Group 2, Census Tract 4018, Alameda County, California",420,905,195,469,55,10,5,141
"060014022001","Block Group 1, Census Tract 4022, Alameda County, California",539,1456,447,445,175,13,13,311
"060014022002","Block Group 2, Census Tract 4022, Alameda County, California",251,620,161,207,102,11,4,136
"060014022003","Block Group 3, Census Tract 4022, Alameda County, California",260,1174,370,212,68,16,25,477
"060014024001","Block Group 1, Census Tract 4024, Alameda County, California",471,1056,312,374,111,12,1,203
"060014024002","Block Group 2, Census Tract 4024, Alameda County, California",692,1403,280,616,295,12,5,156
"060014025002","Block Group 2, Census Tract 4025, Alameda County, California",295,737,129,397,89,0,2,46
"060014025001","Block Group 1, Census Tract 4025, Alameda County, California",490,1273,286,628,116,9,8,123
"060014026001","Block Group 1, Census Tract 4026, Alameda County, California",673,1226,231,331,508,6,4,113
"060014027002","Block Group 2, Census Tract 4027, Alameda County, California",451,1154,300,483,110,9,13,193
"060014027001","Block Group 1, Census Tract 4027, Alameda County, California",359,673,136,266,73,4,4,171
"060014028013","Block Group 3, Census Tract 4028.01, Alameda County, California",586,924,326,257,228,2,0,75
"060014028011","Block Group 1, Census Tract 4028.01, Alameda County, California",454,1031,310,353,175,2,1,125
"060014028012","Block Group 2, Census Tract 4028.01, Alameda County, California",405,986,138,401,355,1,1,67
"060014028021","Block Group 1, Census Tract 4028.02, Alameda County, California",240,462,61,208,117,11,2,53
"060014028022","Block Group 2, Census Tract 4028.02, Alameda County, California",718,991,269,369,165,16,18,112
"060014029001","Block Group 1, Census Tract 4029, Alameda County, California",969,1148,356,232,379,9,0,137
"060014029002","Block Group 2, Census Tract 4029, Alameda County, California",533,769,241,106,355,9,0,70
"060014030002","Block Group 2, Census Tract 4030, Alameda County, California",615,1138,73,54,954,6,1,34
"060014030001","Block Group 1, Census Tract 4030, Alameda County, California",637,1141,121,56,901,3,6,48
"060014030003","Block Group 3, Census Tract 4030, Alameda County, California",511,728,65,14,619,0,0,13
"060014031002","Block Group 2, Census Tract 4031, Alameda County, California",504,878,208,102,461,0,4,82
"060014031001","Block Group 1, Census Tract 4031, Alameda County, California",482,812,280,140,278,3,4,71
"060014033011","Block Group 1, Census Tract 4033.01, Alameda County, California",516,1043,126,116,727,0,0,41
"060014033012","Block Group 2, Census Tract 4033.01, Alameda County, California",315,956,72,107,686,1,4,66
"060014033021","Block Group 1, Census Tract 4033.02, Alameda County, California",637,1041,468,125,267,5,2,121
"060014033022","Block Group 2, Census Tract 4033.02, Alameda County, California",646,1324,513,176,405,6,17,181
"060014033023","Block Group 3, Census Tract 4033.02, Alameda County, California",576,855,383,119,176,2,1,111
"060014034011","Block Group 1, Census Tract 4034.01, Alameda County, California",767,1198,641,105,206,2,15,185
"060014034012","Block Group 2, Census Tract 4034.01, Alameda County, California",663,970,329,254,224,6,2,120
"060014034013","Block Group 3, Census Tract 4034.01, Alameda County, California",655,863,288,98,393,6,0,86
"060014034021","Block Group 1, Census Tract 4034.02, Alameda County, California",143,324,86,63,59,3,4,91
"060014034022","Block Group 2, Census Tract 4034.02, Alameda County, California",822,1200,427,258,345,11,0,111
"060014035012","Block Group 2, Census Tract 4035.01, Alameda County, California",1074,1947,872,493,241,12,15,224
"060014035014","Block Group 4, Census Tract 4035.01, Alameda County, California",1535,2094,831,253,683,4,3,222
"060014035011","Block Group 1, Census Tract 4035.01, Alameda County, California",745,1045,386,152,398,9,0,83
"060014035013","Block Group 3, Census Tract 4035.01, Alameda County, California",367,794,142,448,58,9,7,79
"060014035021","Block Group 1, Census Tract 4035.02, Alameda County, California",558,919,480,132,146,7,0,124
"060014035022","Block Group 2, Census Tract 4035.02, Alameda County, California",749,1229,589,242,160,9,4,179
"060014036001","Block Group 1, Census Tract 4036, Alameda County, California",469,776,361,149,121,0,3,86
"060014036002","Block Group 2, Census Tract 4036, Alameda County, California",741,1213,575,230,195,1,0,126
"060014036003","Block Group 3, Census Tract 4036, Alameda County, California",1555,2728,984,895,331,30,13,357
"060014037011","Block Group 1, Census Tract 4037.01, Alameda County, California",684,1279,743,172,168,6,0,150
"060014037012","Block Group 2, Census Tract 4037.01, Alameda County, California",998,1507,720,242,274,6,7,190
"060014037021","Block Group 1, Census Tract 4037.02, Alameda County, California",444,777,296,238,123,1,7,73
"060014037022","Block Group 2, Census Tract 4037.02, Alameda County, California",855,1372,808,157,177,7,2,145
"060014038001","Block Group 1, Census Tract 4038, Alameda County, California",249,675,426,47,73,2,1,76
"060014038002","Block Group 2, Census Tract 4038, Alameda County, California",479,819,523,78,117,1,0,64
"060014038003","Block Group 3, Census Tract 4038, Alameda County, California",486,774,438,98,109,1,1,77
"060014038004","Block Group 4, Census Tract 4038, Alameda County, California",764,1442,857,99,189,12,8,186
"060014039001","Block Group 1, Census Tract 4039, Alameda County, California",858,1507,845,207,206,9,2,175
"060014039002","Block Group 2, Census Tract 4039, Alameda County, California",413,797,544,51,75,3,3,94
"060014039003","Block Group 3, Census Tract 4039, Alameda County, California",1043,1639,821,244,280,8,2,199
"060014040001","Block Group 1, Census Tract 4040, Alameda County, California",658,1025,475,216,160,10,4,112
"060014040002","Block Group 2, Census Tract 4040, Alameda County, California",720,1287,771,91,159,5,3,162
"060014040003","Block Group 3, Census Tract 4040, Alameda County, California",479,737,421,63,125,3,2,98
"060014041013","Block Group 3, Census Tract 4041.01, Alameda County, California",541,903,535,61,145,1,0,93
"060014041011","Block Group 1, Census Tract 4041.01, Alameda County, California",769,1308,906,75,108,4,0,136
"060014041012","Block Group 2, Census Tract 4041.01, Alameda County, California",526,928,587,55,138,10,0,123
"060014041021","Block Group 1, Census Tract 4041.02, Alameda County, California",1042,1478,953,93,203,5,0,152
"060014041022","Block Group 2, Census Tract 4041.02, Alameda County, California",670,1038,644,91,147,11,0,107
"060014042001","Block Group 1, Census Tract 4042, Alameda County, California",401,1050,641,50,164,3,0,92
"060014042002","Block Group 2, Census Tract 4042, Alameda County, California",514,1346,928,51,160,1,0,118
"060014042003","Block Group 3, Census Tract 4042, Alameda County, California",531,1245,810,102,188,3,0,91
"060014043001","Block Group 1, Census Tract 4043, Alameda County, California",473,1211,756,58,218,4,0,70
"060014043002","Block Group 2, Census Tract 4043, Alameda County, California",373,938,672,31,122,1,1,57
"060014043003","Block Group 3, Census Tract 4043, Alameda County, California",563,1267,881,32,156,2,0,102
"060014044001","Block Group 1, Census Tract 4044, Alameda County, California",659,1790,971,91,397,3,1,153
"060014044004","Block Group 4, Census Tract 4044, Alameda County, California",466,706,405,66,147,0,0,67
"060014044002","Block Group 2, Census Tract 4044, Alameda County, California",525,1307,857,48,182,9,3,72
"060014044003","Block Group 3, Census Tract 4044, Alameda County, California",770,1818,1196,70,240,3,4,164
"060014045011","Block Group 1, Census Tract 4045.01, Alameda County, California",710,1771,1196,67,231,1,8,123
"060014045021","Block Group 1, Census Tract 4045.02, Alameda County, California",401,979,638,75,101,3,1,95
"060014045024","Block Group 4, Census Tract 4045.02, Alameda County, California",854,1990,1319,87,279,1,2,177
"060014045022","Block Group 2, Census Tract 4045.02, Alameda County, California",581,1442,938,88,179,10,0,120
"060014045023","Block Group 3, Census Tract 4045.02, Alameda County, California",729,1783,1133,130,223,8,1,159
"060014046003","Block Group 3, Census Tract 4046, Alameda County, California",493,1167,816,46,138,3,0,79
"060014046001","Block Group 1, Census Tract 4046, Alameda County, California",483,1153,691,81,170,1,0,99
"060014046002","Block Group 2, Census Tract 4046, Alameda County, California",321,740,511,40,73,5,0,67
"060014046004","Block Group 4, Census Tract 4046, Alameda County, California",605,1491,993,57,183,3,3,137
"060014047002","Block Group 2, Census Tract 4047, Alameda County, California",452,1099,674,101,131,0,8,104
"060014047001","Block Group 1, Census Tract 4047, Alameda County, California",377,883,605,51,68,3,0,81
"060014048001","Block Group 1, Census Tract 4048, Alameda County, California",620,1355,593,173,251,15,10,249
"060014048002","Block Group 2, Census Tract 4048, Alameda County, California",681,1402,708,201,173,7,7,227
"060014049001","Block Group 1, Census Tract 4049, Alameda County, California",404,905,576,69,102,7,3,88
"060014049004","Block Group 4, Census Tract 4049, Alameda County, California",554,1194,766,54,169,3,4,125
"060014049002","Block Group 2, Census Tract 4049, Alameda County, California",647,1224,570,206,240,5,5,156
"060014049003","Block Group 3, Census Tract 4049, Alameda County, California",540,1135,491,163,249,16,3,158
"060014050003","Block Group 3, Census Tract 4050, Alameda County, California",703,1353,791,129,188,3,0,147
"060014050001","Block Group 1, Census Tract 4050, Alameda County, California",353,799,533,45,83,2,1,68
"060014050002","Block Group 2, Census Tract 4050, Alameda County, California",540,1161,769,55,155,4,0,102
"060014051003","Block Group 3, Census Tract 4051, Alameda County, California",336,909,573,81,117,0,3,79
"060014051001","Block Group 1, Census Tract 4051, Alameda County, California",388,1052,700,51,125,6,1,90
"060014051002","Block Group 2, Census Tract 4051, Alameda County, California",269,691,487,40,58,4,0,49
"060014051004","Block Group 4, Census Tract 4051, Alameda County, California",267,687,414,82,88,0,1,38
"060014051005","Block Group 5, Census Tract 4051, Alameda County, California",375,1024,636,120,104,1,0,93
"060014052001","Block Group 1, Census Tract 4052, Alameda County, California",713,1381,555,135,407,15,2,214
"060014052004","Block Group 4, Census Tract 4052, Alameda County, California",798,1271,659,199,195,5,3,151
"060014052002","Block Group 2, Census Tract 4052, Alameda County, California",538,972,374,105,342,7,0,64
"060014052003","Block Group 3, Census Tract 4052, Alameda County, California",540,1215,425,147,317,22,4,196
"060014053011","Block Group 1, Census Tract 4053.01, Alameda County, California",571,964,508,129,142,11,6,132
"060014053012","Block Group 2, Census Tract 4053.01, Alameda County, California",596,1032,410,207,158,9,0,194
"060014053013","Block Group 3, Census Tract 4053.01, Alameda County, California",524,995,421,158,162,4,1,199
"060014053021","Block Group 1, Census Tract 4053.02, Alameda County, California",956,1487,495,267,499,6,1,153
"060014053022","Block Group 2, Census Tract 4053.02, Alameda County, California",687,1310,376,170,482,11,1,238
"060014054011","Block Group 1, Census Tract 4054.01, Alameda County, California",729,1447,388,290,434,15,2,265
"060014054012","Block Group 2, Census Tract 4054.01, Alameda County, California",594,1378,214,260,568,16,7,309
"060014054013","Block Group 3, Census Tract 4054.01, Alameda County, California",421,1050,180,113,553,23,1,179
"060014054021","Block Group 1, Census Tract 4054.02, Alameda County, California",758,2051,260,312,953,30,3,489
"060014054022","Block Group 2, Census Tract 4054.02, Alameda County, California",502,1120,236,305,284,25,2,238
"060014055001","Block Group 1, Census Tract 4055, Alameda County, California",260,696,118,60,363,19,0,152
"060014055002","Block Group 2, Census Tract 4055, Alameda County, California",424,1081,210,321,355,6,4,161
"060014055003","Block Group 3, Census Tract 4055, Alameda County, California",384,933,224,104,416,10,1,145
"060014055004","Block Group 4, Census Tract 4055, Alameda County, California",615,1134,377,176,346,28,3,205
"060014056003","Block Group 3, Census Tract 4056, Alameda County, California",756,1389,470,305,348,27,5,207
"060014056001","Block Group 1, Census Tract 4056, Alameda County, California",301,729,213,111,206,24,1,168
"060014056002","Block Group 2, Census Tract 4056, Alameda County, California",453,1106,299,142,477,9,3,147
"060014057003","Block Group 3, Census Tract 4057, Alameda County, California",476,1031,221,286,326,24,0,155
"060014057001","Block Group 1, Census Tract 4057, Alameda County, California",524,1233,255,280,402,20,7,227
"060014057002","Block Group 2, Census Tract 4057, Alameda County, California",430,1159,187,284,386,20,2,277
"060014058003","Block Group 3, Census Tract 4058, Alameda County, California",410,1108,141,219,414,16,2,312
"060014058001","Block Group 1, Census Tract 4058, Alameda County, California",426,1359,178,228,606,31,10,300
"060014058002","Block Group 2, Census Tract 4058, Alameda County, California",328,1059,138,194,513,7,7,176
"060014058004","Block Group 4, Census Tract 4058, Alameda County, California",263,794,105,73,495,15,3,108
"060014059012","Block Group 2, Census Tract 4059.01, Alameda County, California",482,1628,130,206,735,77,7,545
"060014059011","Block Group 1, Census Tract 4059.01, Alameda County, California",434,1597,174,233,399,55,4,781
"060014059013","Block Group 3, Census Tract 4059.01, Alameda County, California",303,1054,95,126,344,34,5,479
"060014059022","Block Group 2, Census Tract 4059.02, Alameda County, California",552,1747,185,227,776,58,2,553
"060014059021","Block Group 1, Census Tract 4059.02, Alameda County, California",482,1434,150,230,751,22,9,274
"060014060003","Block Group 3, Census Tract 4060, Alameda County, California",528,869,160,222,359,10,0,116
"060014060001","Block Group 1, Census Tract 4060, Alameda County, California",777,2207,784,355,381,49,56,553
"060014060002","Block Group 2, Census Tract 4060, Alameda County, California",295,938,141,92,359,26,9,346
"060014060004","Block Group 4, Census Tract 4060, Alameda County, California",464,1209,216,142,642,13,6,201
"060014061002","Block Group 2, Census Tract 4061, Alameda County, California",274,1159,260,140,137,40,12,610
"060014061001","Block Group 1, Census Tract 4061, Alameda County, California",422,1464,246,169,105,84,17,929
"060014061003","Block Group 3, Census Tract 4061, Alameda County, California",665,1479,669,153,165,61,13,474
"060014061004","Block Group 4, Census Tract 4061, Alameda County, California",626,1785,239,367,302,47,11,859
"060014062011","Block Group 1, Census Tract 4062.01, Alameda County, California",381,1422,73,220,570,61,0,531
"060014062014","Block Group 4, Census Tract 4062.01, Alameda County, California",339,1218,115,113,329,24,7,667
"060014062012","Block Group 2, Census Tract 4062.01, Alameda County, California",274,917,101,134,282,39,0,410
"060014062013","Block Group 3, Census Tract 4062.01, Alameda County, California",570,1462,159,197,280,97,4,839
"060014062023","Block Group 3, Census Tract 4062.02, Alameda County, California",540,1859,196,120,209,174,3,1382
"060014062021","Block Group 1, Census Tract 4062.02, Alameda County, California",362,1094,98,99,126,73,3,751
"060014062022","Block Group 2, Census Tract 4062.02, Alameda County, California",529,1816,191,312,317,53,8,981
"060014063003","Block Group 3, Census Tract 4063, Alameda County, California",261,830,119,157,259,4,5,296
"060014063001","Block Group 1, Census Tract 4063, Alameda County, California",413,978,165,129,326,16,2,385
"060014063002","Block Group 2, Census Tract 4063, Alameda County, California",359,1204,148,190,381,17,16,442
"060014063004","Block Group 4, Census Tract 4063, Alameda County, California",317,977,131,187,319,27,12,301
"060014064001","Block Group 1, Census Tract 4064, Alameda County, California",260,847,252,195,206,18,4,151
"060014064002","Block Group 2, Census Tract 4064, Alameda County, California",490,1364,345,335,306,41,3,338
"060014065002","Block Group 2, Census Tract 4065, Alameda County, California",261,858,93,131,268,48,4,338
"060014065001","Block Group 1, Census Tract 4065, Alameda County, California",733,2056,291,443,466,87,4,817
"060014065003","Block Group 3, Census Tract 4065, Alameda County, California",576,1878,140,199,382,103,4,1138
"060014065004","Block Group 4, Census Tract 4065, Alameda County, California",461,1404,241,264,226,59,20,673
"060014066011","Block Group 1, Census Tract 4066.01, Alameda County, California",316,1001,92,174,349,22,4,343
"060014066014","Block Group 4, Census Tract 4066.01, Alameda County, California",385,915,154,298,209,20,4,211
"060014066012","Block Group 2, Census Tract 4066.01, Alameda County, California",573,1586,316,404,341,35,1,495
"060014066013","Block Group 3, Census Tract 4066.01, Alameda County, California",557,1332,338,234,408,15,12,257
"060014066021","Block Group 1, Census Tract 4066.02, Alameda County, California",506,1312,292,300,259,24,16,407
"060014066022","Block Group 2, Census Tract 4066.02, Alameda County, California",464,1242,190,290,338,33,18,391
"060014067001","Block Group 1, Census Tract 4067, Alameda County, California",551,1573,850,155,209,11,11,227
"060014067002","Block Group 2, Census Tract 4067, Alameda County, California",285,678,382,46,90,7,5,82
"060014067003","Block Group 3, Census Tract 4067, Alameda County, California",835,1806,613,422,452,7,10,231
"060014067004","Block Group 4, Census Tract 4067, Alameda County, California",384,819,497,72,105,5,1,85
"060014067005","Block Group 5, Census Tract 4067, Alameda County, California",319,691,428,56,105,4,3,70
"060014068001","Block Group 1, Census Tract 4068, Alameda County, California",254,723,408,62,111,6,0,87
"060014068002","Block Group 2, Census Tract 4068, Alameda County, California",297,719,378,56,127,13,3,113
"060014068003","Block Group 3, Census Tract 4068, Alameda County, California",469,1113,313,204,343,10,8,197
"060014068004","Block Group 4, Census Tract 4068, Alameda County, California",440,1014,386,170,267,14,8,138
"060014069001","Block Group 1, Census Tract 4069, Alameda County, California",284,796,477,69,89,8,7,122
"060014069002","Block Group 2, Census Tract 4069, Alameda County, California",483,1156,630,106,207,4,5,96
"060014069003","Block Group 3, Census Tract 4069, Alameda County, California",800,1887,364,574,423,46,9,444
"060014070005","Block Group 5, Census Tract 4070, Alameda County, California",358,1089,183,189,292,72,3,413
"060014070001","Block Group 1, Census Tract 4070, Alameda County, California",415,1059,204,197,384,12,4,235
"060014070002","Block Group 2, Census Tract 4070, Alameda County, California",432,1109,328,184,244,27,14,311
"060014070003","Block Group 3, Census Tract 4070, Alameda County, California",510,1300,178,311,286,30,2,521
"060014070004","Block Group 4, Census Tract 4070, Alameda County, California",521,1522,158,331,420,53,12,596
"060014071011","Block Group 1, Census Tract 4071.01, Alameda County, California",663,2169,241,255,340,86,8,1331
"060014071012","Block Group 2, Census Tract 4071.01, Alameda County, California",497,1389,158,242,340,55,3,623
"060014071021","Block Group 1, Census Tract 4071.02, Alameda County, California",578,1627,288,315,290,29,6,700
"060014071024","Block Group 4, Census Tract 4071.02, Alameda County, California",287,919,183,158,138,77,1,465
"060014071022","Block Group 2, Census Tract 4071.02, Alameda County, California",262,945,142,125,250,14,12,405
"060014071023","Block Group 3, Census Tract 4071.02, Alameda County, California",257,891,112,67,233,33,1,487
"060014072003","Block Group 3, Census Tract 4072, Alameda County, California",532,1674,254,104,199,146,1,1176
"060014072001","Block Group 1, Census Tract 4072, Alameda County, California",432,1623,201,171,113,107,4,1178
"060014072002","Block Group 2, Census Tract 4072, Alameda County, California",489,1727,173,108,215,171,0,1305
"060014072004","Block Group 4, Census Tract 4072, Alameda County, California",591,1799,243,71,222,148,0,1315
"060014073002","Block Group 2, Census Tract 4073, Alameda County, California",451,2577,657,450,124,103,64,1269
"060014073001","Block Group 1, Census Tract 4073, Alameda County, California",427,1366,194,140,149,62,2,904
"060014074003","Block Group 3, Census Tract 4074, Alameda County, California",317,1120,39,133,43,148,7,911
"060014074001","Block Group 1, Census Tract 4074, Alameda County, California",523,1750,168,429,211,82,5,987
"060014074002","Block Group 2, Census Tract 4074, Alameda County, California",438,1542,120,211,147,91,7,1073
"060014075003","Block Group 3, Census Tract 4075, Alameda County, California",456,1255,117,381,99,114,17,627
"060014075001","Block Group 1, Census Tract 4075, Alameda County, California",290,998,118,266,48,61,40,513
"060014075002","Block Group 2, Census Tract 4075, Alameda County, California",656,2130,145,472,132,91,17,1405
"060014076003","Block Group 3, Census Tract 4076, Alameda County, California",420,1203,218,404,122,45,23,402
"060014076001","Block Group 1, Census Tract 4076, Alameda County, California",453,1038,317,335,79,21,6,197
"060014076002","Block Group 2, Census Tract 4076, Alameda County, California",412,1080,234,345,99,38,15,343
"060014076004","Block Group 4, Census Tract 4076, Alameda County, California",536,1713,220,455,220,72,15,786
"060014076005","Block Group 5, Census Tract 4076, Alameda County, California",439,1356,194,300,157,60,15,673
"060014077001","Block Group 1, Census Tract 4077, Alameda County, California",620,1585,355,645,130,25,8,376
"060014077004","Block Group 4, Census Tract 4077, Alameda County, California",385,871,330,270,83,8,1,126
"060014077002","Block Group 2, Census Tract 4077, Alameda County, California",453,1098,329,402,98,8,3,199
"060014077003","Block Group 3, Census Tract 4077, Alameda County, California",386,911,355,352,66,8,0,97
"060014078002","Block Group 2, Census Tract 4078, Alameda County, California",462,1519,542,426,149,11,7,306
"060014078001","Block Group 1, Census Tract 4078, Alameda County, California",346,854,288,234,79,24,3,232
"060014079003","Block Group 3, Census Tract 4079, Alameda County, California",529,1309,492,238,241,9,15,228
"060014079001","Block Group 1, Census Tract 4079, Alameda County, California",336,875,423,102,113,8,3,145
"060014079002","Block Group 2, Census Tract 4079, Alameda County, California",368,897,294,236,135,10,1,171
"060014080001","Block Group 1, Census Tract 4080, Alameda County, California",304,758,494,62,84,1,1,67
"060014080002","Block Group 2, Census Tract 4080, Alameda County, California",752,1872,930,239,425,5,4,170
"060014081001","Block Group 1, Census Tract 4081, Alameda County, California",586,1537,810,166,278,6,11,157
"060014081004","Block Group 4, Census Tract 4081, Alameda County, California",399,807,273,231,187,1,1,70
"060014081002","Block Group 2, Census Tract 4081, Alameda County, California",690,1363,351,518,279,5,4,158
"060014081003","Block Group 3, Census Tract 4081, Alameda County, California",379,956,254,350,174,1,5,101
"060014081005","Block Group 5, Census Tract 4081, Alameda County, California",852,2049,688,384,594,0,6,223
"060014082002","Block Group 2, Census Tract 4082, Alameda County, California",790,2031,321,887,102,58,6,670
"060014082001","Block Group 1, Census Tract 4082, Alameda County, California",626,1375,458,433,110,4,3,288
"060014082003","Block Group 3, Census Tract 4082, Alameda County, California",422,1065,180,482,71,27,2,263
"060014083001","Block Group 1, Census Tract 4083, Alameda County, California",306,836,257,244,73,7,4,211
"060014083002","Block Group 2, Census Tract 4083, Alameda County, California",429,1028,385,255,105,33,7,234
"060014083003","Block Group 3, Census Tract 4083, Alameda County, California",424,1033,374,339,85,10,3,176
"060014083004","Block Group 4, Census Tract 4083, Alameda County, California",368,946,131,392,58,3,3,350
"060014083005","Block Group 5, Census Tract 4083, Alameda County, California",346,948,129,409,64,11,19,248
"060014084001","Block Group 1, Census Tract 4084, Alameda County, California",470,1482,96,453,63,73,16,859
"060014084002","Block Group 2, Census Tract 4084, Alameda County, California",307,971,61,300,30,51,3,561
"060014084003","Block Group 3, Census Tract 4084, Alameda County, California",494,1474,126,718,27,37,27,565
"060014085001","Block Group 1, Census Tract 4085, Alameda County, California",344,1064,89,429,18,55,27,536
"060014085002","Block Group 2, Census Tract 4085, Alameda County, California",416,1340,95,592,37,70,9,600
"060014085003","Block Group 3, Census Tract 4085, Alameda County, California",269,1022,70,294,34,23,15,615
"060014085004","Block Group 4, Census Tract 4085, Alameda County, California",261,881,72,237,55,64,4,535
"060014085005","Block Group 5, Census Tract 4085, Alameda County, California",411,1445,104,480,47,62,23,810
"060014086003","Block Group 3, Census Tract 4086, Alameda County, California",399,1472,86,383,40,66,3,960
"060014086001","Block Group 1, Census Tract 4086, Alameda County, California",634,1919,165,718,111,58,35,811
"060014086002","Block Group 2, Census Tract 4086, Alameda County, California",590,1777,137,715,64,86,13,850
"060014086004","Block Group 4, Census Tract 4086, Alameda County, California",298,999,96,247,51,28,9,607
"060014087002","Block Group 2, Census Tract 4087, Alameda County, California",453,1260,84,624,30,25,3,483
"060014087004","Block Group 4, Census Tract 4087, Alameda County, California",299,1067,62,221,59,31,11,709
"060014087001","Block Group 1, Census Tract 4087, Alameda County, California",489,1144,198,531,84,29,13,281
"060014087003","Block Group 3, Census Tract 4087, Alameda County, California",406,1352,134,442,50,34,7,732
"060014087005","Block Group 5, Census Tract 4087, Alameda County, California",514,1698,163,444,96,37,14,1015
"060014087006","Block Group 6, Census Tract 4087, Alameda County, California",392,1253,115,524,57,23,5,542
