"GEOID","NAME","H1_001N"
"06001420600","Census Tract 4206, Alameda County, California",1354
"06001421100","Census Tract 4211, Alameda County, California",879
"06001421200","Census Tract 4212, Alameda County, California",1520
"06001421300","Census Tract 4213, Alameda County, California",1726
"06001421400","Census Tract 4214, Alameda County, California",686
"06001421500","Census Tract 4215, Alameda County, California",1649
"06001421600","Census Tract 4216, Alameda County, California",1701
"06001421700","Census Tract 4217, Alameda County, California",1696
"06001421800","Census Tract 4218, Alameda County, California",939
"06001421900","Census Tract 4219, Alameda County, California",1793
"06001422000","Census Tract 4220, Alameda County, California",1390
"06001422100","Census Tract 4221, Alameda County, California",1372
"06001422200","Census Tract 4222, Alameda County, California",1678
"06001422300","Census Tract 4223, Alameda County, California",1956
"06001422400","Census Tract 4224, Alameda County, California",2320
"06001422500","Census Tract 4225, Alameda County, California",1783
"06001422700","Census Tract 4227, Alameda County, California",1308
"06001422800","Census Tract 4228, Alameda County, California",2325
"06001422901","Census Tract 4229.01, Alameda County, California",1254
"06001422902","Census Tract 4229.02, Alameda County, California",1421
"06001423000","Census Tract 4230, Alameda County, California",2293
"06001423100","Census Tract 4231, Alameda County, California",2076
"06001423200","Census Tract 4232, Alameda County, California",1252
"06001423300","Census Tract 4233, Alameda County, California",1683
"06001423400","Census Tract 4234, Alameda County, California",2242
"06001423500","Census Tract 4235, Alameda County, California",1618
"06001423601","Census Tract 4236.01, Alameda County, California",1348
"06001423602","Census Tract 4236.02, Alameda County, California",2853
"06001423700","Census Tract 4237, Alameda County, California",1564
"06001423800","Census Tract 4238, Alameda County, California",1449
"06001423901","Census Tract 4239.01, Alameda County, California",960
"06001423902","Census Tract 4239.02, Alameda County, California",749
"06001424001","Census Tract 4240.01, Alameda County, California",1667
"06001424002","Census Tract 4240.02, Alameda County, California",1086
"06001425101","Census Tract 4251.01, Alameda County, California",1353
"06001425102","Census Tract 4251.02, Alameda County, California",2324
"06001425103","Census Tract 4251.03, Alameda County, California",1533
"06001425104","Census Tract 4251.04, Alameda County, California",2315
"06001426100","Census Tract 4261, Alameda County, California",2207
"06001426200","Census Tract 4262, Alameda County, California",1745
"06001427100","Census Tract 4271, Alameda County, California",1509
"06001427200","Census Tract 4272, Alameda County, California",1772
"06001427300","Census Tract 4273, Alameda County, California",2357
"06001427600","Census Tract 4276, Alameda County, California",1866
"06001427700","Census Tract 4277, Alameda County, California",2573
"06001427800","Census Tract 4278, Alameda County, California",2168
"06001427900","Census Tract 4279, Alameda County, California",2228
"06001428000","Census Tract 4280, Alameda County, California",1447
"06001428100","Census Tract 4281, Alameda County, California",2118
"06001428200","Census Tract 4282, Alameda County, California",2788
"06001428301","Census Tract 4283.01, Alameda County, California",2546
"06001428302","Census Tract 4283.02, Alameda County, California",2690
"06001428400","Census Tract 4284, Alameda County, California",2037
"06001428500","Census Tract 4285, Alameda County, California",1564
"06001428600","Census Tract 4286, Alameda County, California",1640
"06001428700","Census Tract 4287, Alameda County, California",1706
"06001430101","Census Tract 4301.01, Alameda County, California",2309
"06001430102","Census Tract 4301.02, Alameda County, California",949
"06001430200","Census Tract 4302, Alameda County, California",2546
"06001430300","Census Tract 4303, Alameda County, California",1384
"06001430400","Census Tract 4304, Alameda County, California",767
"06001430500","Census Tract 4305, Alameda County, California",2256
"06001430600","Census Tract 4306, Alameda County, California",2199
"06001430700","Census Tract 4307, Alameda County, California",1440
"06001430800","Census Tract 4308, Alameda County, California",2268
"06001430900","Census Tract 4309, Alameda County, California",1925
"06001431000","Census Tract 4310, Alameda County, California",1264
"06001431100","Census Tract 4311, Alameda County, California",1403
"06001431200","Census Tract 4312, Alameda County, California",2696
"06001432100","Census Tract 4321, Alameda County, California",1498
"06001432200","Census Tract 4322, Alameda County, California",1811
"06001432300","Census Tract 4323, Alameda County, California",1720
"06001432400","Census Tract 4324, Alameda County, California",1953
"06001432501","Census Tract 4325.01, Alameda County, California",1525
"06001432502","Census Tract 4325.02, Alameda County, California",1486
"06001432601","Census Tract 4326.01, Alameda County, California",1890
"06001432602","Census Tract 4326.02, Alameda County, California",1405
"06001432700","Census Tract 4327, Alameda County, California",1081
"06001432800","Census Tract 4328, Alameda County, California",1532
"06001433000","Census Tract 4330, Alameda County, California",1483
"06001433102","Census Tract 4331.02, Alameda County, California",1403
"06001433103","Census Tract 4331.03, Alameda County, California",1551
"06001433104","Census Tract 4331.04, Alameda County, California",1925
"06001433200","Census Tract 4332, Alameda County, California",2892
"06001433300","Census Tract 4333, Alameda County, California",2245
"06001433400","Census Tract 4334, Alameda County, California",2393
"06001433500","Census Tract 4335, Alameda County, California",1439
"06001433600","Census Tract 4336, Alameda County, California",2175
"06001433700","Census Tract 4337, Alameda County, California",1102
"06001433801","Census Tract 4338.01, Alameda County, California",1236
"06001433802","Census Tract 4338.02, Alameda County, California",1393
"06001433900","Census Tract 4339, Alameda County, California",2406
"06001434000","Census Tract 4340, Alameda County, California",1887
"06001435102","Census Tract 4351.02, Alameda County, California",1767
"06001435103","Census Tract 4351.03, Alameda County, California",2550
"06001435104","Census Tract 4351.04, Alameda County, California",2940
"06001435200","Census Tract 4352, Alameda County, California",1477
"06001435300","Census Tract 4353, Alameda County, California",1772
"06001435400","Census Tract 4354, Alameda County, California",2187
"06001435500","Census Tract 4355, Alameda County, California",1540
"06001435601","Census Tract 4356.01, Alameda County, California",1718
"06001435602","Census Tract 4356.02, Alameda County, California",1775
"06001435700","Census Tract 4357, Alameda County, California",1523
"06001435800","Census Tract 4358, Alameda County, California",1767
"06001435900","Census Tract 4359, Alameda County, California",1702
"06001436000","Census Tract 4360, Alameda County, California",1568
"06001436100","Census Tract 4361, Alameda County, California",1817
"06001436200","Census Tract 4362, Alameda County, California",1336
"06001436301","Census Tract 4363.01, Alameda County, California",1800
"06001436302","Census Tract 4363.02, Alameda County, California",1350
"06001436402","Census Tract 4364.02, Alameda County, California",1102
"06001436403","Census Tract 4364.03, Alameda County, California",1860
"06001436404","Census Tract 4364.04, Alameda County, California",1265
"06001436500","Census Tract 4365, Alameda County, California",1936
"06001436601","Census Tract 4366.01, Alameda County, California",1956
"06001436602","Census Tract 4366.02, Alameda County, California",1878
"06001436700","Census Tract 4367, Alameda County, California",1134
"06001436800","Census Tract 4368, Alameda County, California",1426
"06001436900","Census Tract 4369, Alameda County, California",1970
"06001437000","Census Tract 4370, Alameda County, California",1279
"06001437101","Census Tract 4371.01, Alameda County, California",2162
"06001437102","Census Tract 4371.02, Alameda County, California",1540
"06001437200","Census Tract 4372, Alameda County, California",2992
"06001437300","Census Tract 4373, Alameda County, California",952
"06001437400","Census Tract 4374, Alameda County, California",956
"06001437500","Census Tract 4375, Alameda County, California",1241
"06001437600","Census Tract 4376, Alameda County, California",958
"06001437701","Census Tract 4377.01, Alameda County, California",1134
"06001437702","Census Tract 4377.02, Alameda County, California",1132
"06001437800","Census Tract 4378, Alameda County, California",1400
"06001437900","Census Tract 4379, Alameda County, California",731
"06001438000","Census Tract 4380, Alameda County, California",1107
"06001438100","Census Tract 4381, Alameda County, California",2210
"06001438201","Census Tract 4382.01, Alameda County, California",1260
"06001438203","Census Tract 4382.03, Alameda County, California",1273
"06001438204","Census Tract 4382.04, Alameda County, California",1957
"06001438300","Census Tract 4383, Alameda County, California",928
"06001438400","Census Tract 4384, Alameda County, California",742
"06001440100","Census Tract 4401, Alameda County, California",1161
"06001440200","Census Tract 4402, Alameda County, California",1495
"06001440301","Census Tract 4403.01, Alameda County, California",2234
"06001440304","Census Tract 4403.04, Alameda County, California",1363
"06001440305","Census Tract 4403.05, Alameda County, California",1026
"06001440306","Census Tract 4403.06, Alameda County, California",1062
"06001440307","Census Tract 4403.07, Alameda County, California",1695
"06001440308","Census Tract 4403.08, Alameda County, California",1931
"06001440331","Census Tract 4403.31, Alameda County, California",950
"06001440332","Census Tract 4403.32, Alameda County, California",878
"06001440333","Census Tract 4403.33, Alameda County, California",833
"06001440334","Census Tract 4403.34, Alameda County, California",1084
"06001440336","Census Tract 4403.36, Alameda County, California",1483
"06001440337","Census Tract 4403.37, Alameda County, California",751
"06001440338","Census Tract 4403.38, Alameda County, California",1835
"06001441100","Census Tract 4411, Alameda County, California",1600
"06001441200","Census Tract 4412, Alameda County, California",2633
"06001441301","Census Tract 4413.01, Alameda County, California",1209
"06001441302","Census Tract 4413.02, Alameda County, California",1876
"06001441401","Census Tract 4414.01, Alameda County, California",2414
"06001441402","Census Tract 4414.02, Alameda County, California",1751
"06001441501","Census Tract 4415.01, Alameda County, California",1773
"06001441503","Census Tract 4415.03, Alameda County, California",2426
"06001441521","Census Tract 4415.21, Alameda County, California",1806
"06001441522","Census Tract 4415.22, Alameda County, California",1466
"06001441523","Census Tract 4415.23, Alameda County, California",1405
"06001441524","Census Tract 4415.24, Alameda County, California",1328
"06001441525","Census Tract 4415.25, Alameda County, California",835
"06001441601","Census Tract 4416.01, Alameda County, California",1450
"06001441602","Census Tract 4416.02, Alameda County, California",2323
"06001441701","Census Tract 4417.01, Alameda County, California",1148
"06001441702","Census Tract 4417.02, Alameda County, California",2011
"06001441800","Census Tract 4418, Alameda County, California",2420
"06001441921","Census Tract 4419.21, Alameda County, California",1298
"06001441923","Census Tract 4419.23, Alameda County, California",2650
"06001441924","Census Tract 4419.24, Alameda County, California",2947
"06001441926","Census Tract 4419.26, Alameda County, California",1514
"06001441927","Census Tract 4419.27, Alameda County, California",1700
"06001441928","Census Tract 4419.28, Alameda County, California",1499
"06001441929","Census Tract 4419.29, Alameda County, California",1589
"06001442000","Census Tract 4420, Alameda County, California",1075
"06001442100","Census Tract 4421, Alameda County, California",1700
"06001442200","Census Tract 4422, Alameda County, California",2295
"06001442301","Census Tract 4423.01, Alameda County, California",1605
"06001442302","Census Tract 4423.02, Alameda County, California",2302
"06001442400","Census Tract 4424, Alameda County, California",1974
"06001442501","Census Tract 4425.01, Alameda County, California",1054
"06001442502","Census Tract 4425.02, Alameda County, California",1183
"06001442601","Census Tract 4426.01, Alameda County, California",1284
"06001442602","Census Tract 4426.02, Alameda County, California",1770
"06001442700","Census Tract 4427, Alameda County, California",1072
"06001442800","Census Tract 4428, Alameda County, California",953
"06001442900","Census Tract 4429, Alameda County, California",2398
"06001443001","Census Tract 4430.01, Alameda County, California",816
"06001443002","Census Tract 4430.02, Alameda County, California",1947
"06001443102","Census Tract 4431.02, Alameda County, California",1498
"06001443103","Census Tract 4431.03, Alameda County, California",1235
"06001443104","Census Tract 4431.04, Alameda County, California",1892
"06001443105","Census Tract 4431.05, Alameda County, California",1482
"06001443200","Census Tract 4432, Alameda County, California",1178
"06001443301","Census Tract 4433.01, Alameda County, California",1234
"06001443321","Census Tract 4433.21, Alameda County, California",1212
"06001443322","Census Tract 4433.22, Alameda County, California",972
"06001444100","Census Tract 4441, Alameda County, California",2606
"06001444200","Census Tract 4442, Alameda County, California",1970
"06001444301","Census Tract 4443.01, Alameda County, California",1165
"06001444303","Census Tract 4443.03, Alameda County, California",1
"06001444304","Census Tract 4443.04, Alameda County, California",2298
"06001444400","Census Tract 4444, Alameda County, California",1519
"06001444500","Census Tract 4445, Alameda County, California",2004
"06001444601","Census Tract 4446.01, Alameda County, California",1907
"06001444602","Census Tract 4446.02, Alameda County, California",1902
"06001450101","Census Tract 4501.01, Alameda County, California",2935
"06001450102","Census Tract 4501.02, Alameda County, California",1845
"06001450200","Census Tract 4502, Alameda County, California",2889
"06001450300","Census Tract 4503, Alameda County, California",1947
"06001450400","Census Tract 4504, Alameda County, California",2853
"06001450501","Census Tract 4505.01, Alameda County, California",1283
"06001450502","Census Tract 4505.02, Alameda County, California",1911
"06001450601","Census Tract 4506.01, Alameda County, California",1358
"06001450603","Census Tract 4506.03, Alameda County, California",1559
"06001450604","Census Tract 4506.04, Alameda County, California",1704
"06001450605","Census Tract 4506.05, Alameda County, California",1412
"06001450606","Census Tract 4506.06, Alameda County, California",2110
"06001450607","Census Tract 4506.07, Alameda County, California",2557
"06001450608","Census Tract 4506.08, Alameda County, California",1445
"06001450609","Census Tract 4506.09, Alameda County, California",1845
"06001450701","Census Tract 4507.01, Alameda County, California",2764
"06001450741","Census Tract 4507.41, Alameda County, California",2093
"06001450742","Census Tract 4507.42, Alameda County, California",2276
"06001450743","Census Tract 4507.43, Alameda County, California",3582
"06001450744","Census Tract 4507.44, Alameda County, California",2286
"06001450745","Census Tract 4507.45, Alameda County, California",2239
"06001450746","Census Tract 4507.46, Alameda County, California",1232
"06001450750","Census Tract 4507.50, Alameda County, California",2702
"06001450751","Census Tract 4507.51, Alameda County, California",3497
"06001450752","Census Tract 4507.52, Alameda County, California",2867
"06001451102","Census Tract 4511.02, Alameda County, California",1372
"06001451103","Census Tract 4511.03, Alameda County, California",502
"06001451104","Census Tract 4511.04, Alameda County, California",2504
"06001451201","Census Tract 4512.01, Alameda County, California",2790
"06001451202","Census Tract 4512.02, Alameda County, California",2167
"06001451300","Census Tract 4513, Alameda County, California",2345
"06001451401","Census Tract 4514.01, Alameda County, California",2412
